Crop ,Tray_position ,Replicate ,Treatment ,day ,date       ,batchid         ,tray ,planteye_id ,digital_biomass__avg ,digital_biomass__max ,digital_biomass__min ,height__avg   ,height__max ,height__min ,height_max__avg ,height_max__max ,height_max__min ,leaf_area_index__avg ,leaf_area_index__max ,leaf_area_index__min ,proj_area__avg ,proj_area__max ,proj_area__min ,ndvi_aver__avg ,ndvi_aver__max ,ndvi_aver__min ,greenness_aver__avg ,greenness_aver__max ,greenness_aver__min ,hue_aver__avg ,hue_aver__max ,hue_aver__min ,area_3d__avg   ,area_3d__max ,area_3d__min ,leaf_inclination__avg ,leaf_inclination__max ,leaf_inclination__min ,leaf_angle__avg ,leaf_angle__max ,leaf_angle__min ,light_pen_depth__avg ,light_pen_depth__max ,light_pen_depth__min ,npci_aver__avg ,npci_aver__max ,npci_aver__min ,psri_aver__avg ,psri_aver__max ,psri_aver__min
Cr31 ,A3            ,1,Control   ,1,19/04/2022,29_HG_mix_st_16 ,2,scan2       ,1486111.875,1486111.875,1486111.875,34.429,34.429,34.429,56.598,56.598,56.598,0.184,0.184,0.184,24864.588,24864.588,24864.588,0.53865,0.53865,0.53865,0.32638,0.32638,0.32638,101.17728,101.17728,101.17728,43164.25,43164.25,43164.25,1.72024,1.72024,1.72024,35.542,35.542,35.542,28.192,28.192,28.192,0.2138,0.2138,0.2138,0.09233,0.09233,0.09233
Mn24 ,A4            ,3,Control   ,1,19/04/2022,29_HG_mix_st_16 ,3,scan2       ,313294.938,313294.938,313294.938,10.855,10.855,10.855,26.748,26.748,26.748,0.123,0.123,0.123,18362.77,18362.77,18362.77,0.62676,0.62676,0.62676,0.38547,0.38547,0.38547,101.24192,101.24192,101.24192,28862.674,28862.674,28862.674,1.56654,1.56654,1.56654,39.667,39.667,39.667,9.128,9.128,9.128,0.24335,0.24335,0.24335,0.08683,0.08683,0.08683
Cr31 ,A5            ,2,Control   ,1,19/04/2022,29_HG_mix_st_16 ,4,scan2       ,493822.406,493822.406,493822.406,20.918,20.918,20.918,46.328,46.328,46.328,0.101,0.101,0.101,13208.138,13208.138,13208.138,0.48198,0.48198,0.48198,0.28716,0.28716,0.28716,99.88363,99.88363,99.88363,23607.604,23607.604,23607.604,1.7712,1.7712,1.7712,34.372,34.372,34.372,17.584,17.584,17.584,0.19244,0.19244,0.19244,0.10084,0.10084,0.10084
Pr26 ,B1            ,2,Control   ,1,19/04/2022,29_HG_mix_st_16 ,5,scan2       ,213691.984,213691.984,213691.984,9.048,9.048,9.048,16.75,16.75,16.75,0.101,0.101,0.101,16044.779,16044.779,16044.779,0.59069,0.59069,0.59069,0.39046,0.39046,0.39046,100.03843,100.03843,100.03843,23617.264,23617.264,23617.264,1.4697,1.4697,1.4697,42.874,42.874,42.874,7.259,7.259,7.259,0.26839,0.26839,0.26839,0.10583,0.10583,0.10583
Bs49 ,B2            ,1,Control   ,1,19/04/2022,29_HG_mix_st_16 ,6,scan2       ,119509.117,119509.117,119509.117,7.93,7.93,7.93,13.593,13.593,13.593,0.064,0.064,0.064,10831.137,10831.137,10831.137,0.70301,0.70301,0.70301,0.42771,0.42771,0.42771,104.90086,104.90086,104.90086,15070.347,15070.347,15070.347,1.39151,1.39151,1.39151,45.941,45.941,45.941,6.774,6.774,6.774,0.24149,0.24149,0.24149,0.06104,0.06104,0.06104
Bs79 ,B3            ,4,Control   ,1,19/04/2022,29_HG_mix_st_16 ,7,scan2       ,861852.625,861852.625,861852.625,19.376,19.376,19.376,33.837,33.837,33.837,0.19,0.19,0.19,29730.867,29730.867,29730.867,0.71747,0.71747,0.71747,-0.03815,-0.03815,-0.03815,16.86951,16.86951,16.86951,44480.824,44480.824,44480.824,1.49126,1.49126,1.49126,42.11,42.11,42.11,14.477,14.477,14.477,0.17764,0.17764,0.17764,0.04114,0.04114,0.04114
Cr31 ,B4            ,4,Control   ,1,19/04/2022,29_HG_mix_st_16 ,8,scan2       ,830638.312,830638.312,830638.312,23.663,23.663,23.663,41.701,41.701,41.701,0.15,0.15,0.15,19681.551,19681.551,19681.551,0.49241,0.49241,0.49241,0.29638,0.29638,0.29638,100.42113,100.42113,100.42113,35102.387,35102.387,35102.387,1.76773,1.76773,1.76773,34.449,34.449,34.449,19.952,19.952,19.952,0.19736,0.19736,0.19736,0.09785,0.09785,0.09785
Pr26 ,A6            ,1,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,0,scan1       ,796950.75,796950.75,796950.75,21.755,21.755,21.755,34.977,34.977,34.977,0.157,0.157,0.157,23416.781,23416.781,23416.781,0.55453,0.55453,0.55453,0.34534,0.34534,0.34534,101.3178,101.3178,101.3178,36633.445,36633.445,36633.445,1.56154,1.56154,1.56154,39.82,39.82,39.82,11.049,11.049,11.049,0.23174,0.23174,0.23174,0.09403,0.09403,0.09403
Bs79 ,A7            ,1,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,1,scan1       ,1316174.375,1316174.375,1316174.375,27.264,27.264,27.264,57.13,57.13,57.13,0.206,0.206,0.206,30909.381,30909.381,30909.381,0.69991,0.69991,0.69991,-0.08278,-0.08278,-0.08278,1.10718,1.10718,1.10718,48275.324,48275.324,48275.324,1.5532,1.5532,1.5532,40.077,40.077,40.077,15.799,15.799,15.799,0.14843,0.14843,0.14843,0.03207,0.03207,0.03207
Cr31 ,A8            ,3,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,2,scan1       ,2229639.75,2229639.75,2229639.75,46.07,46.07,46.07,64.132,64.132,64.132,0.207,0.207,0.207,30264.607,30264.607,30264.607,0.56947,0.56947,0.56947,0.32386,0.32386,0.32386,104.42999,104.42999,104.42999,48396.324,48396.324,48396.324,1.57747,1.57747,1.57747,39.339,39.339,39.339,36.064,36.064,36.064,0.19515,0.19515,0.19515,0.06776,0.06776,0.06776
Bs79 ,A9            ,2,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,3,scan1       ,1143778,1143778,1143778,24.111,24.111,24.111,37.498,37.498,37.498,0.203,0.203,0.203,30644.775,30644.775,30644.775,0.70804,0.70804,0.70804,-0.10414,-0.10414,-0.10414,357.96725,357.96725,357.96725,47437.668,47437.668,47437.668,1.54207,1.54207,1.54207,40.426,40.426,40.426,17.241,17.241,17.241,0.14709,0.14709,0.14709,0.02847,0.02847,0.02847
Bs79 ,A10           ,3,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,4,scan1       ,632323.688,632323.688,632323.688,15.142,15.142,15.142,24.239,24.239,24.239,0.178,0.178,0.178,27317.658,27317.658,27317.658,0.72207,0.72207,0.72207,-0.10648,-0.10648,-0.10648,358.97031,358.97031,358.97031,41758.922,41758.922,41758.922,1.5256,1.5256,1.5256,40.955,40.955,40.955,11.455,11.455,11.455,0.15815,0.15815,0.15815,0.03317,0.03317,0.03317
Pr26 ,B6            ,3,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,5,scan1       ,432394.5,432394.5,432394.5,12.603,12.603,12.603,19.308,19.308,19.308,0.147,0.147,0.147,22487.379,22487.379,22487.379,0.55743,0.55743,0.55743,0.36075,0.36075,0.36075,100.6286,100.6286,100.6286,34308.117,34308.117,34308.117,1.52019,1.52019,1.52019,41.132,41.132,41.132,9.959,9.959,9.959,0.24483,0.24483,0.24483,0.10275,0.10275,0.10275
Bs49 ,B7            ,3,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,6,scan1       ,197273.594,197273.594,197273.594,9.246,9.246,9.246,20.187,20.187,20.187,0.091,0.091,0.091,13868.01,13868.01,13868.01,0.69566,0.69566,0.69566,0.4229,0.4229,0.4229,105.15353,105.15353,105.15353,21336.166,21336.166,21336.166,1.53713,1.53713,1.53713,40.583,40.583,40.583,7.887,7.887,7.887,0.22864,0.22864,0.22864,0.06125,0.06125,0.06125
